-5872, -14136, 5528, 1540, 2701, -1758
-4896, -14444, 6892, 1536, 2686, -1734
-3768, -13224, 8564, 1527, 2678, -1718
-5176, -12628, 9256, 1533, 2689, -1682
-3832, -10596, 11736, 1528, 2694, -1640
-3392, -9684, 12308, 1523, 2701, -1607
-3056, -8160, 14512, 1514, 2716, -1547
-2636, -6820, 14780, 1501, 2737, -1534
-1508, -6448, 14936, 1498, 2737, -1517
-916, -4596, 15372, 1498, 2759, -1510
-200, -3472, 15460, 1477, 2781, -1478
256, 220, 16496, 1460, 2827, -1452
1156, 1792, 16416, 1435, 2862, -1437
5532, 4520, 14972, 1396, 2893, -1424
6084, 6000, 14684, 1359, 2933, -1425
7848, 5776, 13480, 1337, 2934, -1438
9620, 5200, 11772, 1296, 2929, -1448
11300, 5856, 10500, 1269, 2948, -1465
12264, 5168, 9604, 1235, 2944, -1487
13568, 4380, 7492, 1239, 2932, -1508
15140, 3960, 6556, 1217, 2933, -1523
15196, 1716, 5132, 1205, 2906, -1542
15560, 32, 5596, 1224, 2875, -1535
15604, -2508, 5168, 1237, 2812, -1545
14616, -5408, 5352, 1269, 2779, -1544
13896, -7776, 5424, 1305, 2755, -1554
12196, -8976, 5732, 1341, 2737, -1548
11304, -10484, 6340, 1370, 2710, -1559
10004, -11456, 5860, 1420, 2705, -1585
7720, -12716, 7556, 1453, 2686, -1594
6412, -13420, 6772, 1503, 2686, -1615
5120, -14228, 7188, 1527, 2683, -1639
3296, -14120, 6120, 1558, 2681, -1664
1388, -15056, 6936, 1600, 2693, -1706
-740, -15552, 5568, 1634, 2700, -1736
-2480, -15036, 6132, 1651, 2719, -1761
-3188, -15652, 6184, 1664, 2734, -1778
-4684, -15228, 6068, 1675, 2750, -1793
-5292, -14352, 5244, 1679, 2751, -1808
-6116, -14148, 5428, 1680, 2755, -1805
-7432, -13656, 5180, 1701, 2772, -1821
-8412, -12788, 5880, 1710, 2769, -1813
-9248, -11612, 6824, 1720, 2797, -1796
-10424, -11204, 6872, 1720, 2809, -1805
-11288, -9688, 6460, 1745, 2822, -1815
-12196, -8616, 6248, 1746, 2826, -1814
-13024, -7244, 5816, 1742, 2845, -1817
-14300, -5548, 6464, 1763, 2862, -1817
-14968, -3752, 5628, 1780, 2892, -1821
-15096, -2052, 4572, 1772, 2904, -1835
-16176, -944, 4692, 1786, 2898, -1827
-15488, 680, 4948, 1781, 2922, -1808
-15200, 1920, 4244, 1784, 2931, -1786
-15420, 3600, 4272, 1786, 2937, -1788
-15092, 5112, 3512, 1793, 2946, -1762
-14744, 6508, 3208, 1784, 2965, -1744
-14512, 7568, 3696, 1767, 2981, -1715
-13644, 8364, 3020, 1769, 2993, -1690
-13240, 8860, 3056, 1764, 3010, -1664
-12372, 9536, 2056, 1756, 3031, -1663
-12368, 11600, 2732, 1738, 3073, -1639
-11020, 11756, 1196, 1724, 3102, -1634
-10784, 12520, 1128, 1713, 3118, -1633
-9504, 13480, 500, 1694, 3148, -1630
-8088, 14596, 580, 1644, 3174, -1614
-6180, 15112, 888, 1615, 3183, -1597
-3904, 16200, 1892, 1572, 3210, -1580
-740, 15932, 2296, 1484, 3202, -1562
3028, 15452, 4020, 1413, 3188, -1517
6100, 13884, 4900, 1382, 3149, -1503
7508, 12188, 7268, 1354, 3104, -1481
8140, 10288, 9316, 1375, 3046, -1452
8724, 8136, 11240, 1406, 3032, -1436
7704, 5912, 12404, 1419, 2979, -1432
6368, 4520, 13980, 1454, 2960, -1435
3372, 3372, 15512, 1503, 2949, -1438
868, 2496, 16352, 1559, 2921, -1470
-560, 1840, 16028, 1571, 2904, -1481
-1176, 2308, 16112, 1565, 2898, -1476
-2824, 2344, 15792, 1561, 2872, -1474
-3448, 2236, 16232, 1547, 2865, -1465
-3424, 1920, 15716, 1525, 2862, -1470
-4016, 1592, 15604, 1487, 2840, -1458
-3464, 1240, 15672, 1440, 2850, -1442
-4252, 488, 16256, 1406, 2856, -1438
-3776, 848, 15508, 1377, 2886, -1420
-4256, 260, 16684, 1359, 2896, -1423
-2408, -904, 14564, 1347, 2896, -1421
-2856, -1964, 16164, 1322, 2925, -1413
-5164, -820, 14836, 1334, 2907, -1410
-4856, -1320, 15784, 1327, 2900, -1413
-2916, -688, 16108, 1320, 2912, -1408
-4552, -560, 15728, 1334, 2910, -1417
